"dia","time_casa","gols_casa","gols_fora","time_fora","ano","r_timecasa","r_timefora"
"1972-10-11","abc",1,0,"americamg",1972,,
"1972-10-11","nautico",1,2,"botafogo",1972,,
"1972-10-11","ceara",0,0,"coritiba",1972,,
"1972-10-11","nacional",0,0,"americarj",1972,,
"1972-10-11","sergipe",0,1,"atleticomg",1972,,
"1972-10-11","flamengo",1,0,"santacruz",1972,,
"1972-10-11","gremio",0,0,"vitoria",1972,,
"1972-10-11","cruzeiro",2,0,"santos",1972,,
"1972-10-11","saopaulo",0,1,"vasco",1972,,
"1972-10-12","bahia",0,0,"internacional",1972,,
"1972-10-12","fluminense",0,1,"palmeiras",1972,,
"1972-10-14","cruzeiro",2,0,"americarj",1972,,
"1972-10-14","vitoria",1,0,"crb",1972,,
"1972-10-14","santos",3,2,"gremio",1972,,
"1972-10-14","flamengo",0,0,"corinthians",1972,,
"1972-10-15","botafogo",0,0,"vasco",1972,,
"1972-10-15","abc",0,1,"remo",1972,,
"1972-10-15","ceara",1,0,"nacional",1972,,
"1972-10-15","nautico",3,0,"sergipe",1972,,
"1972-10-15","palmeiras",1,0,"portuguesa",1972,,
"1972-10-15","bahia",1,1,"santacruz",1972,,
"1972-10-15","coritiba",4,0,"saopaulo",1972,,
"1972-10-15","internacional",0,0,"americamg",1972,,
"1972-10-15","atleticomg",2,0,"fluminense",1972,,
"1972-10-18","gremio",1,1,"cruzeiro",1972,,
"1972-10-18","vitoria",0,1,"nautico",1972,,
"1972-10-18","crb",0,0,"bahia",1972,,
"1972-10-18","saopaulo",3,1,"corinthians",1972,,
"1972-10-18","atleticomg",0,3,"palmeiras",1972,,
"1972-10-18","coritiba",2,1,"flamengo",1972,,
"1972-10-18","sergipe",0,1,"abc",1972,,
"1972-10-18","fluminense",2,2,"portuguesa",1972,,
"1972-10-18","remo",1,1,"ceara",1972,,
"1972-10-18","santacruz",2,1,"nacional",1972,,
"1972-10-19","internacional",0,0,"botafogo",1972,,
"1972-10-19","americarj",0,2,"santos",1972,,
"1972-10-19","americamg",0,0,"vasco",1972,,
"1972-10-21","saopaulo",0,3,"fluminense",1972,,
"1972-10-21","atleticomg",1,0,"portuguesa",1972,,
"1972-10-21","flamengo",0,1,"palmeiras",1972,,
"1972-10-22","crb",1,2,"nacional",1972,,
"1972-10-22","corinthians",0,0,"botafogo",1972,,
"1972-10-22","gremio",1,0,"americamg",1972,,
"1972-10-22","vasco",1,1,"santos",1972,,
"1972-10-22","cruzeiro",1,1,"internacional",1972,,
"1972-10-22","remo",4,0,"santacruz",1972,,
"1972-10-22","nautico",0,0,"bahia",1972,,
"1972-10-22","sergipe",0,2,"vitoria",1972,,
"1972-10-22","coritiba",3,3,"americarj",1972,,
"1972-10-22","ceara",1,0,"abc",1972,,
"1972-10-25","ceara",1,4,"portuguesa",1972,,
"1972-10-25","abc",0,1,"americarj",1972,,
"1972-10-25","vasco",1,0,"cruzeiro",1972,,
"1972-10-25","vitoria",1,0,"botafogo",1972,,
"1972-10-25","sergipe",1,3,"corinthians",1972,,
"1972-10-25","crb",0,2,"gremio",1972,,
"1972-10-25","remo",0,0,"coritiba",1972,,
"1972-10-25","palmeiras",0,1,"santos",1972,,
"1972-10-25","santacruz",2,2,"saopaulo",1972,,
"1972-10-25","nacional",1,1,"americamg",1972,,
"1972-10-25","internacional",0,0,"flamengo",1972,,
"1972-10-26","nautico",3,0,"atleticomg",1972,,
"1972-10-26","bahia",1,0,"fluminense",1972,,
"1972-10-28","nautico",1,1,"gremio",1972,,
"1972-10-28","vitoria",1,2,"corinthians",1972,,
"1972-10-28","vasco",0,0,"palmeiras",1972,,
"1972-10-29","remo",0,0,"americamg",1972,,
"1972-10-29","saopaulo",2,1,"cruzeiro",1972,,
"1972-10-29","nacional",1,2,"coritiba",1972,,
"1972-10-29","sergipe",0,1,"botafogo",1972,,
"1972-10-29","flamengo",0,1,"fluminense",1972,,
"1972-10-29","crb",1,1,"atleticomg",1972,,
"1972-10-29","santacruz",2,3,"internacional",1972,,
"1972-10-29","abc",2,1,"portuguesa",1972,,
"1972-10-29","ceara",1,1,"americarj",1972,,
"1972-10-29","bahia",0,2,"santos",1972,,
"1972-11-01","americamg",1,1,"santos",1972,,
"1972-11-01","palmeiras",0,1,"corinthians",1972,,
"1972-11-01","santacruz",1,1,"crb",1972,,
"1972-11-01","sergipe",3,0,"remo",1972,,
"1972-11-01","botafogo",1,1,"cruzeiro",1972,,
"1972-11-01","ceara",2,1,"nautico",1972,,
"1972-11-01","internacional",0,1,"americarj",1972,,
"1972-11-01","coritiba",2,0,"fluminense",1972,,
"1972-11-01","abc",0,1,"bahia",1972,,
"1972-11-01","vitoria",0,0,"nacional",1972,,
"1972-11-02","portuguesa",0,1,"flamengo",1972,,
"1972-11-02","atleticomg",1,2,"saopaulo",1972,,
"1972-11-02","gremio",0,1,"vasco",1972,,
"1972-11-05","atleticomg",2,0,"botafogo",1972,,
"1972-11-05","sergipe",0,2,"vasco",1972,,
"1972-11-05","coritiba",0,1,"corinthians",1972,,
"1972-11-05","gremio",0,1,"santacruz",1972,,
"1972-11-05","abc",0,1,"fluminense",1972,,
"1972-11-05","nacional",0,0,"palmeiras",1972,,
"1972-11-05","flamengo",1,0,"vitoria",1972,,
"1972-11-05","nautico",0,6,"saopaulo",1972,,
"1972-11-05","bahia",2,1,"americamg",1972,,
"1972-11-05","portuguesa",1,0,"americarj",1972,,
"1972-11-05","remo",1,1,"santos",1972,,
"1972-11-05","crb",2,3,"internacional",1972,,
"1972-11-05","ceara",1,1,"cruzeiro",1972,,
"1972-11-08","nacional",0,0,"santos",1972,,
"1972-11-08","ceara",3,0,"fluminense",1972,,
"1972-11-08","santacruz",3,2,"botafogo",1972,,
"1972-11-08","sergipe",0,2,"flamengo",1972,,
"1972-11-08","bahia",1,3,"atleticomg",1972,,
"1972-11-08","crb",2,6,"saopaulo",1972,,
"1972-11-08","abc",0,2,"cruzeiro",1972,,
"1972-11-08","coritiba",1,1,"portuguesa",1972,,
"1972-11-08","americarj",3,0,"americamg",1972,,
"1972-11-08","corinthians",1,0,"gremio",1972,,
"1972-11-08","remo",0,2,"palmeiras",1972,,
"1972-11-09","nautico",0,1,"internacional",1972,,
"1972-11-09","vitoria",2,0,"vasco",1972,,
"1972-11-11","americamg",2,0,"flamengo",1972,,
"1972-11-11","botafogo",3,2,"saopaulo",1972,,
"1972-11-12","sergipe",0,0,"nacional",1972,,
"1972-11-12","abc",2,0,"santacruz",1972,,
"1972-11-12","cruzeiro",0,0,"atleticomg",1972,,
"1972-11-12","portuguesa",2,0,"santos",1972,,
"1972-11-12","nautico",2,2,"remo",1972,,
"1972-11-12","gremio",0,1,"palmeiras",1972,,
"1972-11-12","ceara",2,2,"crb",1972,,
"1972-11-12","corinthians",1,1,"vasco",1972,,
"1972-11-12","coritiba",1,1,"internacional",1972,,
"1972-11-12","bahia",0,0,"vitoria",1972,,
"1972-11-12","fluminense",0,0,"americarj",1972,,
"1972-11-15","botafogo",6,0,"flamengo",1972,,
"1972-11-16","atleticomg",0,1,"santos",1972,,
"1972-11-16","fluminense",2,0,"gremio",1972,,
"1972-11-16","cruzeiro",2,0,"portuguesa",1972,,
"1972-11-16","remo",1,0,"nacional",1972,,
"1972-11-16","internacional",2,0,"corinthians",1972,,
"1972-11-16","crb",0,3,"sergipe",1972,,
"1972-11-16","coritiba",1,0,"vasco",1972,,
"1972-11-16","ceara",0,0,"bahia",1972,,
"1972-11-16","palmeiras",2,0,"americarj",1972,,
"1972-11-16","santacruz",1,1,"vitoria",1972,,
"1972-11-16","saopaulo",2,1,"americamg",1972,,
"1972-11-16","abc",3,4,"nautico",1972,,
"1972-11-18","vasco",3,1,"portuguesa",1972,,
"1972-11-18","internacional",1,1,"atleticomg",1972,,
"1972-11-19","americamg",1,2,"palmeiras",1972,,
"1972-11-19","nacional",2,3,"nautico",1972,,
"1972-11-19","ceara",0,1,"corinthians",1972,,
"1972-11-19","coritiba",2,3,"cruzeiro",1972,,
"1972-11-19","santacruz",2,4,"santos",1972,,
"1972-11-19","gremio",1,0,"flamengo",1972,,
"1972-11-19","saopaulo",2,0,"americarj",1972,,
"1972-11-19","crb",1,1,"remo",1972,,
"1972-11-19","sergipe",1,2,"bahia",1972,,
"1972-11-19","abc",0,0,"vitoria",1972,,
"1972-11-19","botafogo",2,1,"fluminense",1972,,
"1972-11-21","internacional",5,1,"portuguesa",1972,,
